Lexeme:_computeFunctionValue CurrentNode:                 TK_FUNID Line no.:  1  tokenName:     TK_FUNID valueIfNumber:-1.000 parentNodeSymbol:                 function isLeafNode: yes NodeSymbol:                 TK_FUNID 
Lexeme:        ----- CurrentNode:                termPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                termPrime 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:                 expPrime isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:                 expPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                 expPrime isLeafNode:  no NodeSymbol:                 expPrime 
Lexeme:            ; CurrentNode:                   TK_SEM Line no.:  4  tokenName:       TK_SEM valueIfNumber:-1.000 parentNodeSymbol:           assignmentStmt isLeafNode: yes NodeSymbol:                   TK_SEM 
Lexeme:        ----- CurrentNode:                     stmt Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:               otherStmts isLeafNode:  no NodeSymbol:                     stmt 
Lexeme:        ----- CurrentNode:               otherStmts Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:               otherStmts 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:               otherStmts isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:               otherStmts Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:               otherStmts isLeafNode:  no NodeSymbol:               otherStmts 
Lexeme:       return CurrentNode:                TK_RETURN Line no.:  5  tokenName:    TK_RETURN valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode: yes NodeSymbol:                TK_RETURN 
Lexeme:        ----- CurrentNode:               returnStmt Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                    stmts isLeafNode:  no NodeSymbol:               returnStmt 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:           optionalReturn isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:           optionalReturn Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode:  no NodeSymbol:           optionalReturn 
Lexeme:            ; CurrentNode:                   TK_SEM Line no.:  5  tokenName:       TK_SEM valueIfNumber:-1.000 parentNodeSymbol:               returnStmt isLeafNode: yes NodeSymbol:                   TK_SEM 
Lexeme:          end CurrentNode:                   TK_END Line no.:  6  tokenName:       TK_END valueIfNumber:-1.000 parentNodeSymbol:                 function isLeafNode: yes NodeSymbol:                   TK_END 
Lexeme:        ----- CurrentNode:           otherFunctions Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                  program isLeafNode:  no NodeSymbol:           otherFunctions 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:           otherFunctions isLeafNode: yes NodeSymbol:                        # 
